Företag,Länk
ABBLtd,https://www.avanza.se/aktier/om-aktien.html/5447/abb-ltd
AlfaLaval,https://www.avanza.se/aktier/om-aktien.html/5580/alfa-laval
AssaAbloyB,https://www.avanza.se/aktier/om-aktien.html/5271/assa-abloy-b
AstraZeneca,https://www.avanza.se/aktier/om-aktien.html/5431/astrazeneca
AtlasCopcoB,https://www.avanza.se/aktier/om-aktien.html/5235/atlas-copco-b
AutolivInc.SDB,https://www.avanza.se/aktier/om-aktien.html/5236/autoliv-sdb
Boliden,https://www.avanza.se/aktier/om-aktien.html/5564/boliden
ElectroluxB,https://www.avanza.se/aktier/om-aktien.html/5238/electrolux-b
EricssonB,https://www.avanza.se/aktier/om-aktien.html/5240/ericsson-b
EssityB,https://www.avanza.se/aktier/om-aktien.html/764241/essity-b
GetingeB,https://www.avanza.se/aktier/om-aktien.html/5282/getinge-b
Hennes&MauritzB,https://www.avanza.se/aktier/om-aktien.html/5364/hennes---mauritz-b
HexagonABB,https://www.avanza.se/aktier/om-aktien.html/5286/hexagon-b
InvestorB,https://www.avanza.se/aktier/om-aktien.html/5247/investor-b
KinnevikB,https://www.avanza.se/aktier/om-aktien.html/5369/kinnevik-b
NordeaBank,https://www.avanza.se/aktier/om-aktien.html/5249/nordea-bank-abp
Sandvik,https://www.avanza.se/aktier/om-aktien.html/5471/sandvik
SecuritasB,https://www.avanza.se/aktier/om-aktien.html/5270/securitas-b
SEBA,https://www.avanza.se/aktier/om-aktien.html/5255/seb-a
SkanskaB,https://www.avanza.se/aktier/om-aktien.html/5257/skanska-b
SKFB,https://www.avanza.se/aktier/om-aktien.html/5259/skf-b
SSABB,https://www.avanza.se/aktier/om-aktien.html/5261/ssab-b
SCAB,https://www.avanza.se/aktier/om-aktien.html/5263/sca-b
SvenskaHandelsbankenA,https://www.avanza.se/aktier/om-aktien.html/5264/handelsbanken-a
SwedbankA,https://www.avanza.se/aktier/om-aktien.html/5241/swedbank-a
SwedishMatch,https://www.avanza.se/aktier/om-aktien.html/5266/swedish-match
Tele2B,https://www.avanza.se/aktier/om-aktien.html/5386/tele2-b
TeliaCompany,https://www.avanza.se/aktier/om-aktien.html/5479/telia-company
VolvoB,https://www.avanza.se/aktier/om-aktien.html/5269/volvo-b
InvesorB,https://www.avanza.se/aktier/om-aktien.html/5247/investor-b
Hufvudstaden,https://www.avanza.se/aktier/om-aktien.html/5287/hufvudstaden-a
