Företag,Länk
Loomis B,https://www.avanza.se/aktier/om-aktien.html/154930/loomis
AddLife B,https://www.avanza.se/aktier/om-aktien.html/643541/addlife-b
Bure Equity,https://www.avanza.se/aktier/om-aktien.html/5277/bure-equity
Catena,https://www.avanza.se/aktier/om-aktien.html/41007/catena
Karo Pharma,https://www.avanza.se/aktier/om-aktien.html/5446/karo-pharma
Lundin Gold,https://www.avanza.se/aktier/om-aktien.html/528238/lundin-gold
NetEnt B,https://www.avanza.se/aktier/om-aktien.html/158928/netent-b
Recipharm B,https://www.avanza.se/aktier/om-aktien.html/472000/recipharm-b
SECTRA B,https://www.avanza.se/aktier/om-aktien.html/5426/sectra-b
Sinch,https://www.avanza.se/aktier/om-aktien.html/599956/sinch
AAK,https://www.avanza.se/aktier/om-aktien.html/26268/aak
ABB Ltd,https://www.avanza.se/aktier/om-aktien.html/5447/abb-ltd
Addtech B,https://www.avanza.se/aktier/om-aktien.html/5537/addtech-b
Ahlstrom-Munksjö Oyj,https://www.avanza.se/aktier/om-aktien.html/523282/ahlstrom-munksjo-oyj
Alfa Laval,https://www.avanza.se/aktier/om-aktien.html/5580/alfa-laval
Arjo B,https://www.avanza.se/aktier/om-aktien.html/810953/arjo-b
ASSA ABLOY B,https://www.avanza.se/aktier/om-aktien.html/5271/assa-abloy-b
AstraZeneca,https://www.avanza.se/aktier/om-aktien.html/5431/astrazeneca
Atlas Copco B,https://www.avanza.se/aktier/om-aktien.html/5235/atlas-copco-b
Atrium Ljungberg B,https://www.avanza.se/aktier/om-aktien.html/5374/atrium-ljungberg-b
Autoliv SDB,https://www.avanza.se/aktier/om-aktien.html/5236/autoliv-sdb
Avanza Bank Holding,https://www.avanza.se/aktier/om-aktien.html/5361/avanza-bank-holding
Axfood,https://www.avanza.se/aktier/om-aktien.html/5465/axfood
Beijer Ref B,https://www.avanza.se/aktier/om-aktien.html/5274/beijer-ref-b
BillerudKorsnäs,https://www.avanza.se/aktier/om-aktien.html/5556/billerudkorsnas
Boliden,https://www.avanza.se/aktier/om-aktien.html/5564/boliden
Bravida Holding,https://www.avanza.se/aktier/om-aktien.html/602637/bravida-holding
Castellum,https://www.avanza.se/aktier/om-aktien.html/5353/castellum
Dometic Group,https://www.avanza.se/aktier/om-aktien.html/611718/dometic-group
Electrolux B,https://www.avanza.se/aktier/om-aktien.html/5238/electrolux-b
Elekta B,https://www.avanza.se/aktier/om-aktien.html/5280/elekta-b
Epiroc B,https://www.avanza.se/aktier/om-aktien.html/861431/epiroc-b
EQT,https://www.avanza.se/aktier/om-aktien.html/1001617/eqt
Ericsson B,https://www.avanza.se/aktier/om-aktien.html/5240/ericsson-b
Essity B,https://www.avanza.se/aktier/om-aktien.html/764241/essity-b
Evolution Gaming Group,https://www.avanza.se/aktier/om-aktien.html/549768/evolution-gaming-group
Fabege,https://www.avanza.se/aktier/om-aktien.html/5300/fabege
Fast. Balder B,https://www.avanza.se/aktier/om-aktien.html/5459/fast--balder-b
Fastpartner D,https://www.avanza.se/aktier/om-aktien.html/1025156/fastpartner-d
Fastpartner Pref,https://www.avanza.se/aktier/om-aktien.html/420018/fastpartner-pref
Fenix Outdoor International B,https://www.avanza.se/aktier/om-aktien.html/488741/fenix-outdoor-international-b
Getinge B,https://www.avanza.se/aktier/om-aktien.html/5282/getinge-b
Handelsbanken A,https://www.avanza.se/aktier/om-aktien.html/5264/handelsbanken-a
Handelsbanken B,https://www.avanza.se/aktier/om-aktien.html/5265/handelsbanken-b
Hennes & Mauritz B,https://www.avanza.se/aktier/om-aktien.html/5364/hennes---mauritz-b
Hexagon B,https://www.avanza.se/aktier/om-aktien.html/5286/hexagon-b
HEXPOL B,https://www.avanza.se/aktier/om-aktien.html/130828/hexpol-b
Holmen B,https://www.avanza.se/aktier/om-aktien.html/5251/holmen-b
Hufvudstaden A,https://www.avanza.se/aktier/om-aktien.html/5287/hufvudstaden-a
Husqvarna B,https://www.avanza.se/aktier/om-aktien.html/45189/husqvarna-b
ICA Gruppen,https://www.avanza.se/aktier/om-aktien.html/31607/ica-gruppen
Industrivärden C,https://www.avanza.se/aktier/om-aktien.html/5245/industrivarden-c
Indutrade,https://www.avanza.se/aktier/om-aktien.html/26607/indutrade
Intrum,https://www.avanza.se/aktier/om-aktien.html/5583/intrum
Investor A,https://www.avanza.se/aktier/om-aktien.html/5246/investor-a
JM,https://www.avanza.se/aktier/om-aktien.html/5501/jm
Kindred Group,https://www.avanza.se/aktier/om-aktien.html/56267/kindred-group
Kinnevik B,https://www.avanza.se/aktier/om-aktien.html/5369/kinnevik-b
Klövern B,https://www.avanza.se/aktier/om-aktien.html/523632/klovern-b
Klövern pref,https://www.avanza.se/aktier/om-aktien.html/334718/klovern-pref
Kungsleden,https://www.avanza.se/aktier/om-aktien.html/5434/kungsleden
Latour B,https://www.avanza.se/aktier/om-aktien.html/5321/latour-b
Lifco B,https://www.avanza.se/aktier/om-aktien.html/520898/lifco-b
Lundbergföretagen B,https://www.avanza.se/aktier/om-aktien.html/5375/lundbergforetagen-b
Lundin Energy,https://www.avanza.se/aktier/om-aktien.html/5698/lundin-energy
Lundin Mining Corporation,https://www.avanza.se/aktier/om-aktien.html/7010/lundin-mining-corporation
Medicover B,https://www.avanza.se/aktier/om-aktien.html/756355/medicover-b
Millicom Int. Cellular SDB,https://www.avanza.se/aktier/om-aktien.html/6048/millicom-int--cellular-sdb
Mycronic,https://www.avanza.se/aktier/om-aktien.html/5466/mycronic
NCC B,https://www.avanza.se/aktier/om-aktien.html/5294/ncc-b
NIBE Industrier B,https://www.avanza.se/aktier/om-aktien.html/5325/nibe-industrier-b
Nolato B,https://www.avanza.se/aktier/om-aktien.html/5327/nolato-b
Nordea Bank Abp,https://www.avanza.se/aktier/om-aktien.html/5249/nordea-bank-abp
Nordic Entertainment Group A,https://www.avanza.se/aktier/om-aktien.html/945461/nordic-entertainment-group-a
Nordic Entertainment Group B,https://www.avanza.se/aktier/om-aktien.html/945460/nordic-entertainment-group-b
Nyfosa,https://www.avanza.se/aktier/om-aktien.html/907825/nyfosa
Pandox B,https://www.avanza.se/aktier/om-aktien.html/572898/pandox-b
Peab B,https://www.avanza.se/aktier/om-aktien.html/5330/peab-b
SAAB B,https://www.avanza.se/aktier/om-aktien.html/5401/saab-b
Sagax B,https://www.avanza.se/aktier/om-aktien.html/405815/sagax-b
Samhällsbyggnadsbo. i Norden B,https://www.avanza.se/aktier/om-aktien.html/517316/samhallsbyggnadsbo--i-norden-b
Sandvik,https://www.avanza.se/aktier/om-aktien.html/5471/sandvik
SCA B,https://www.avanza.se/aktier/om-aktien.html/5263/sca-b
SEB A,https://www.avanza.se/aktier/om-aktien.html/5255/seb-a
Securitas B,https://www.avanza.se/aktier/om-aktien.html/5270/securitas-b
Skanska B,https://www.avanza.se/aktier/om-aktien.html/5257/skanska-b
SKF B,https://www.avanza.se/aktier/om-aktien.html/5259/skf-b
SSAB B,https://www.avanza.se/aktier/om-aktien.html/5261/ssab-b
Stora Enso R,https://www.avanza.se/aktier/om-aktien.html/5422/stora-enso-r
SWECO B,https://www.avanza.se/aktier/om-aktien.html/5409/sweco-b
Swedish Match,https://www.avanza.se/aktier/om-aktien.html/5266/swedish-match
Swedish Orphan Biovitrum,https://www.avanza.se/aktier/om-aktien.html/51308/swedish-orphan-biovitrum
Tele2 B,https://www.avanza.se/aktier/om-aktien.html/5386/tele2-b
Telia Company,https://www.avanza.se/aktier/om-aktien.html/5479/telia-company
Thule Group,https://www.avanza.se/aktier/om-aktien.html/521491/thule-group
TietoEVRY Oyj,https://www.avanza.se/aktier/om-aktien.html/5455/tietoevry-oyj
TRATON,https://www.avanza.se/aktier/om-aktien.html/972553/traton
Trelleborg B,https://www.avanza.se/aktier/om-aktien.html/5267/trelleborg-b
Veoneer SDB,https://www.avanza.se/aktier/om-aktien.html/864354/veoneer-sdb
Vitrolife,https://www.avanza.se/aktier/om-aktien.html/5508/vitrolife
Volvo B,https://www.avanza.se/aktier/om-aktien.html/5269/volvo-b
Wallenstam B,https://www.avanza.se/aktier/om-aktien.html/5344/wallenstam-b
Wihlborgs Fastigheter,https://www.avanza.se/aktier/om-aktien.html/18813/wihlborgs-fastigheter
ÅF Pöyry B,https://www.avanza.se/aktier/om-aktien.html/5301/af-poyry-b
