namn	branch	direktavkastning	kolumn_A	kolumn_B	kolumn_A_plus_B
Fastpartner D	Fastigheter	6.04	4	45	49
TRATON	Industri	5.72	35	4	39
Castellum	Fastigheter	3.1	24	14	38
Kungsleden	Fastigheter	2.99	18	33	51
Boliden	Råvaror	2.72	26	16	42
JM	Konsument, cyklisk	2.24	23	24	47
Investor A	Finans	1.6	3	0	3
Stora Enso R	Råvaror	1.07	25	26	51
Holmen B	Råvaror	1.02	5	7	12
Bure Equity	Finans	0.36	6	8	14
SAAB B	Industri	0.0	34	15	49
Handelsbanken A	Finans	0.0	15	34	49
SCA B	Råvaror	0.0	2	25	27
Industrivärden C	Finans	0.0	14	5	19
Lundbergföretagen B	Finans	0.0	13	2	15
