ngram,mean,wheight,stdev
miljon fat,-21.00999999999999,2,0.0
och tyder,-12.19500000000005,2,27.117545058504195
januari vi,-0.30499999999995,2,5.1830927060975025
för juli,-9.177142857142892,7,17.542067261572193
punkter och,1.5588888888888859,9,14.250382840861208
den ursprungliga,4.250000000000114,2,10.550033175303179
kontentan av,-0.029999999999972715,2,36.99582679168028
upp och,-0.8638461538461553,13,17.894939945163955
twitter bergqvistrobert,-1.3110000000000013,20,15.630993469453719
avslutas i,18.06499999999994,2,28.376195129016068
kring handelssamtalen,-0.33999999999991815,2,5.939696961967063
senaste penningpolitiska,3.7233333333332816,3,20.96281549156338
kronan vilken,18.274999999999977,2,35.447262940881544
ränta ökad,-11.69500000000005,2,16.59579615444829
bara om,-6.670000000000073,3,13.871521185508012
ljusare ut,-5.615000000000123,2,3.542604973744597
räntor kvar,-4.330000000000041,2,5.133595231414329
där man,0.175555555555598,9,14.230206526181487
får säkert,15.596666666666579,3,19.514439098609326
om ränta,9.263333333333321,3,14.779432781177102
att locka,1.6250000000001137,2,4.20728534805999
sannolikt större,-29.059999999999945,2,0.0
och givet,8.99499999999989,2,4.080006127446366
vilja att,4.183750000000003,16,15.877314162036388
av ledamöterna,8.043333333333445,3,0.7099530500907993
usa räntor,-0.13916666666669167,12,21.108912576244087
men steg,9.550000000000068,2,20.449528111914844
hjälp av,11.772000000000025,5,9.020710615023601
internationella kalendern,-0.7099999999999227,4,31.045093010007193
nya rekord,1.5233333333333121,3,3.2673740730644685
och införa,-5.225000000000023,2,5.267945519839811
inflationsförväntningar samt,-9.329999999999927,2,11.285424227737325
få rösta,-3.124999999999943,4,4.955673516284168
det läget,9.389999999999873,2,18.441344853345107
svar med,-10.066666666666682,3,32.89741833842476
har i,0.677647058823515,17,15.230823405766579
sig inte,8.865000000000123,2,6.031620843521231
tar fasta,-13.769999999999868,2,39.03229432149745
oroar sig,5.490000000000066,4,11.3217254279844
fortsätter falla,-5.062499999999943,4,3.796247050267715
brittiskt utträde,7.556666666666691,3,4.605218054916986
hade strax,4.0499999999999545,2,0.3111269837221195
kpi kpif,-7.550000000000068,6,17.08006440268887
fokuserad på,-7.009999999999991,3,28.74452121709463
brexit om,5.240000000000009,3,8.928387312387256
kv eur,-4.25,2,0.5374011537019304
säkert inte,-1.3299999999999272,2,7.65089537243856
över hur,-6.270000000000057,3,48.78695829829934
dock nedåt,-8.345000000000027,2,8.26607827207078
och enligt,-1.350909090909144,11,15.751687182359552
är räknade,7.460000000000036,2,4.04465078838691
kommer säkert,4.329999999999927,2,0.0
att tvingas,0.07999999999992724,2,3.068843430349719
börjar idag,7.646666666666609,3,5.744635178436803
amerikanska marknader,-7.8700000000000045,2,1.5273506473630005
in betalningarna,24.1099999999999,2,0.3111269837221195
det rimligt,7.83666666666674,6,10.139695590434025
under senare,6.981428571428588,7,10.330833184487684
rörelser lina,-12.18500000000006,2,13.696658351583508
halvåret än,-11.8599999999999,2,12.430937213259455
börser tog,-7.050000000000068,2,31.791520882147044
lugn och,4.043333333333218,3,7.973583468763168
och konsensusprognosen,7.814999999999941,2,1.3222896808189275
trenden är,-5.783333333333303,3,12.011000513418335
data får,-4.9799999999999045,2,5.006316010800866
en nedgång,6.76739130434783,23,16.948313195067588
en tillväxt,-21.137999999999966,5,35.91564798246016
en sannolikt,-0.17000000000007276,2,0.2969848480984014
en sammanställning,16.139999999999986,2,16.786714985368643
återupptas i,6.183333333333394,3,21.138971908144676
nollränta har,7.185000000000059,2,26.792275939158355
i paneldiskussion,3.380000000000033,3,17.079727749586613
under konsensus,-26.501666666666626,6,65.51769483633153
mycket låga,10.779999999999973,3,10.32288234942155
kunna orsaka,19.334999999999923,2,33.94819656476614
nikkei på,5.819999999999969,7,11.603097287649852
tidigare med,-8.149999999999977,2,1.994041122946019
tidigare men,-3.605000000000018,2,14.969450557719263
komma överens,7.437777777777758,9,11.780172725577653
det tar,-11.459999999999999,6,19.25203054225705
oroande är,-7.459999999999923,2,2.2627416997969845
draghi att,11.210000000000036,2,16.53215654414156
vara låg,6.353333333333239,3,7.715188483331572
jeremy hunt,-9.574999999999989,4,11.756202618192598
är feds,-5.970000000000027,2,11.62483548270688
ganska rejält,-11.44500000000005,2,11.85818072049855
nya rekordhöga,-10.595000000000027,2,26.778133803534477
den större,-5.169999999999997,3,18.215957290244134
förfall rapporter,-7.259999999999991,2,9.588367952889547
sett oförändrade,19.280000000000086,2,12.940054095713787
med mindre,7.320000000000001,7,15.976022658972408
euroområdet och,2.5716666666666774,6,14.95683043517801
handel efter,-0.01666666666665151,3,5.469518565041618
på på,-2.4050000000000864,4,18.138126511118248
penningpolitiken är,-2.6566666666666,3,10.057486432172512
och rapporten,6.260000000000105,2,5.473006486383884
lite sämre,-25.125,2,39.067649660556754
lyfta inflationen,-6.955000000000041,2,3.2314779900224773
och sydkoreas,-29.24499999999989,2,25.533625868646322
trotsa politiker,16.62000000000012,2,0.0
nedåt för,7.1066666666667215,3,9.837323484227575
delar i,9.085000000000036,2,5.550788232314334
lyftes fram,5.400000000000091,2,17.168552647209516
att handelssamtalen,-5.461666666666626,6,16.25376438449459
att antalet,1.6687499999999318,8,14.161338150552236
öppnat för,4.660000000000006,3,4.605073289319093
även feds,-10.53666666666671,3,2.772586037138115
idag presenterar,2.7411111111111444,9,13.070316029504058
beräkningar för,10.329999999999927,2,27.266037482553234
när statistik,11.107500000000073,4,8.617754444556159
köpen av,20.660000000000007,3,23.70103162311713
asienbörserna är,7.400000000000046,5,15.893459346536192
tullunion i,5.883333333333364,3,9.751360588827403
på finansmarknader,2.7299999999999045,2,9.107535341682649
s enria,4.425999999999976,10,9.747855832609185
publiceras den,-15.14999999999994,3,24.09857257183498
är fort,4.149999999999977,2,3.8608030252784142
kv vi,-18.79499999999996,2,31.925871170572524
säkerställa att,-6.083999999999969,5,10.263307459099124
kudlow har,0.8449999999999136,2,1.9869700551343208
koordinerade åtgärder,1.353333333333315,3,19.582390899308788
på goda,4.809999999999945,2,9.758073580374484
avvaktan på,-8.550000000000011,4,15.686261504896505
